id,uri,curriculum,source,subject,type,text
outcome:841aa179d8920a62,https://curriculum.praktikal.ee/o/841aa179d8920a62,gumnaasium,okmv,,competence,"väärtustab keelt ja kirjandust kui (rahvus)kultuuri kandjat ja avaliku suhtluse vahendajat ning mõtlemis- ja tunnetusvahendit, teadvustab keelt identiteedi osana, väärtustab keelelist ja kultuurilist mitmekesisust"
outcome:86d51fcd6b1d56c0,https://curriculum.praktikal.ee/o/86d51fcd6b1d56c0,gumnaasium,okmv,,competence,"toimib keeleteadlikult, väljendub selgelt, eesmärgipäraselt ja üldkirjakeele normidele vastavalt nii suulises kui ka kirjalikus suhtluses, märkab ja arvestab keeles toimuvaid muutusi"
outcome:dc09e1cbfa33a568,https://curriculum.praktikal.ee/o/dc09e1cbfa33a568,gumnaasium,okmv,,competence,"mõistab, analüüsib ja hindab kriitiliselt eri liiki tekste ning eri allikates ja keskkondades pakutavat teavet, austab intellektuaalomandit"
outcome:09d63df38ffcdba7,https://curriculum.praktikal.ee/o/09d63df38ffcdba7,gumnaasium,okmv,,competence,"arendab oma loovvõimeid, kirjutab ja esitab eri tüüpi ning eri žanris tekste, kasutab tekstiloomes sobivaid ja asjakohaseid alustekste"
outcome:dafceef1f3c05c91,https://curriculum.praktikal.ee/o/dafceef1f3c05c91,gumnaasium,okmv,,competence,"mõistab keele ja kirjanduse ühiskondlikku, ajaloolist ja kultuuriväärtust ning tähtsust iseenda arengus"
outcome:fe7c5ff100c2281c,https://curriculum.praktikal.ee/o/fe7c5ff100c2281c,gumnaasium,okmv,,competence,"väärtustab lugemist, suunab oma lugemust, oskab ise valida kirjandusteoseid jm lugemisvara, arendab lugedes oma tunde-, kogemus- ja mõttemaailma, täiendab enda keele- ja kultuuriteadmisi."
outcome:6419cceaee6a40dd,https://curriculum.praktikal.ee/o/6419cceaee6a40dd,gumnaasium,okmv,Eesti keel,knowledge,"mõistab eesti keele rolli rahvusliku, riikliku ja individuaalse identiteedi kujundamisel"
outcome:03d81f0dc5bb67e2,https://curriculum.praktikal.ee/o/03d81f0dc5bb67e2,gumnaasium,okmv,Eesti keel,knowledge,"mõistab keele tähendust ühiskonnas, tajub keele ajaloolist kujunemist ja varieerumist, väärtustab keeleoskust, arendab seda lugedes ja kirjutades"
outcome:6d059760a1110c47,https://curriculum.praktikal.ee/o/6d059760a1110c47,gumnaasium,okmv,Eesti keel,skill,"loeb, analüüsib ja hindab kriitiliselt eri liiki tekste, tunneb tekstide mõjutusvahendeid, kasutab sihipäraselt ja eetiliselt teabeallikaid"
outcome:4f30f580e5dd209e,https://curriculum.praktikal.ee/o/4f30f580e5dd209e,gumnaasium,okmv,Eesti keel,skill,"väljendab ennast nii suulises kui ka kirjalikus suhtluses selgelt, eesmärgipäraselt ja üldkirjakeele normide kohaselt, kasutab keeleallikaid ja andmekogusid"
outcome:551d141707808965,https://curriculum.praktikal.ee/o/551d141707808965,gumnaasium,okmv,Eesti keel,skill,"koostab etapiviisilise kirjutamisprotsessi käigus eri liiki tekste, teab tekstide ülesehituse põhimõtteid ja iseärasusi ning teeb teadlikke keelevalikuid"
outcome:d877ade9871510a9,https://curriculum.praktikal.ee/o/d877ade9871510a9,gumnaasium,okmv,Eesti keel,skill,analüüsib oma kirjutamisoskust ja kasutab seejuures metakeelt.
outcome:d5b86bdcdfb20fc0,https://curriculum.praktikal.ee/o/d5b86bdcdfb20fc0,gumnaasium,okmv,Eesti keel,skill,analüüsib ja võrdleb keele erinevaid kasutusvaldkondi ja tekstide stiilierinevusi;
outcome:1d7b6e62e13fc00a,https://curriculum.praktikal.ee/o/1d7b6e62e13fc00a,gumnaasium,okmv,Eesti keel,skill,"valib keelelisi ja vormilisi väljendusvahendeid suhtlusolukorra ning kõneaine põhjal, järgib stiili- ja etiketinorme;"
outcome:0d7129ca0dd947e9,https://curriculum.praktikal.ee/o/0d7129ca0dd947e9,gumnaasium,okmv,Eesti keel,skill,väljendub selgelt ja korrektselt nii suulises kui ka kirjalikus suhtluses;
outcome:17c2578bc7a1760a,https://curriculum.praktikal.ee/o/17c2578bc7a1760a,gumnaasium,okmv,Eesti keel,skill,"analüüsib tekstide sisu, eesmärke, konteksti, ülesehitust, grammatikat, sõnavara ja stiili;"
outcome:300b269701f77071,https://curriculum.praktikal.ee/o/300b269701f77071,gumnaasium,okmv,Eesti keel,skill,"tunneb tekstis ära keelelise mõjutamise viise ja vahendeid, hindab tekstidest leitud teavet kriitiliselt ja kasutab seda sihipäraselt;"
outcome:b6761bf0fe3fa3a6,https://curriculum.praktikal.ee/o/b6761bf0fe3fa3a6,gumnaasium,okmv,Eesti keel,skill,"koostab eri liiki suulisi ja kirjalikke tekste, sh kõne, kokkuvõtte ja lühiuurimuse;"
outcome:efe0e019d8365db7,https://curriculum.praktikal.ee/o/efe0e019d8365db7,gumnaasium,okmv,Eesti keel,skill,"loob alustekstide põhjal uusi tekste, refereerib ja tsiteerib, kasutab viitamissüsteeme, väldib plagiaati;"
outcome:ea9cd83866c156d9,https://curriculum.praktikal.ee/o/ea9cd83866c156d9,gumnaasium,okmv,Eesti keel,skill,"loeb ja analüüsib ainevaldkonna teadustekste, eristab teaduskeele tunnuseid ja põhjendab teadustekstide keelelisi valikuid;"
outcome:8f51c01b73e933ff,https://curriculum.praktikal.ee/o/8f51c01b73e933ff,gumnaasium,okmv,Eesti keel,skill,"korrigeerib ja redigeerib oma teksti, kasutab otstarbekalt keeleallikaid ja teabekeskkondi, teeb teadlikke keelevalikuid."
outcome:12d75858ea485762,https://curriculum.praktikal.ee/o/12d75858ea485762,gumnaasium,okmv,Eesti keel,knowledge,kirjeldab ja selgitab tekstide stiilierinevusi;
outcome:2a015ebcfbd7749b,https://curriculum.praktikal.ee/o/2a015ebcfbd7749b,gumnaasium,okmv,Eesti keel,skill,väljendab ennast selgelt ja asjakohaselt nii suulises kui ka kirjalikus tekstis;
outcome:f7a7cf191371ffca,https://curriculum.praktikal.ee/o/f7a7cf191371ffca,gumnaasium,okmv,Eesti keel,skill,"kaitseb argumenteeritult oma seisukohti, arutleb ja annab hinnanguid;"
outcome:2f129fc9ad82d413,https://curriculum.praktikal.ee/o/2f129fc9ad82d413,gumnaasium,okmv,Eesti keel,skill,konspekteerib suulist esitust ja loetud teksti;
outcome:c1b2d883fd88aba3,https://curriculum.praktikal.ee/o/c1b2d883fd88aba3,gumnaasium,okmv,Eesti keel,skill,kasutab erinevaid keeleallikaid ja teabekeskkondi;
outcome:dbdc320643371be3,https://curriculum.praktikal.ee/o/dbdc320643371be3,gumnaasium,okmv,Eesti keel,skill,"edastab eri allikaist leitud infot, hindab teabe usaldusväärsust;"
outcome:de7f3b7cad4cb8df,https://curriculum.praktikal.ee/o/de7f3b7cad4cb8df,gumnaasium,okmv,Eesti keel,knowledge,selgitab keelendite tähendusvarjundeid;
outcome:a2101f66c959874b,https://curriculum.praktikal.ee/o/a2101f66c959874b,gumnaasium,okmv,Eesti keel,skill,"koostab eri liiki tekste, sh arvustuse, referaadi ja essee;"
outcome:1b23fdcc7fd15a14,https://curriculum.praktikal.ee/o/1b23fdcc7fd15a14,gumnaasium,okmv,Eesti keel,skill,"järgib õpitud keelereegleid, põhjendab oma keelevalikuid;"
outcome:4a7aea0b517bfdeb,https://curriculum.praktikal.ee/o/4a7aea0b517bfdeb,gumnaasium,okmv,Eesti keel,skill,"arendab loetu toel oma sõnavara, lause- ja tekstimoodustusoskust."
outcome:70405ce7bfa88cba,https://curriculum.praktikal.ee/o/70405ce7bfa88cba,gumnaasium,okmv,Eesti keel,knowledge,"tunneb tänapäevast teabekeskkonda ja selle arengut kujundavaid protsesse, selgitab kommunikatsiooni olemust ja toimumise tingimusi;"
outcome:ee6d4a3a62481d66,https://curriculum.praktikal.ee/o/ee6d4a3a62481d66,gumnaasium,okmv,Eesti keel,skill,"leiab meediatekstist argumendid ja põhilised mõjutamisvõtted, selgitab teksti autori eesmärke ning motiive;"
outcome:da6ea0b52e6c87ae,https://curriculum.praktikal.ee/o/da6ea0b52e6c87ae,gumnaasium,okmv,Eesti keel,skill,"eristab fakti arvamusest ja usaldusväärset infot küsitavast, kontrollib infoühiku sisu tõesust, sealhulgas tõlgitud info tähendusvälja muutumist;"
outcome:37dc9617960cf53b,https://curriculum.praktikal.ee/o/37dc9617960cf53b,gumnaasium,okmv,Eesti keel,skill,analüüsib kriitiliselt reklaami ning arutleb reklaami ja mainekujunduse teemadel;
outcome:9ef513f823458d99,https://curriculum.praktikal.ee/o/9ef513f823458d99,gumnaasium,okmv,Eesti keel,knowledge,"tunneb meediakanaleid, analüüsib nende erijooni, iseloomustab erinevaid meediažanre;"
outcome:d23b11e680665d26,https://curriculum.praktikal.ee/o/d23b11e680665d26,gumnaasium,okmv,Eesti keel,skill,analüüsib vahetu ja vahendatud kommunikatsiooni erinevusi ja osalejate taotlusi;
outcome:97d584fb5ed3114c,https://curriculum.praktikal.ee/o/97d584fb5ed3114c,gumnaasium,okmv,Eesti keel,skill,"hindab kriitiliselt meediamanipulatsioone, tunneb ära propaganda, libauudised ja müüdiloome;"
outcome:525c79c83fdb510e,https://curriculum.praktikal.ee/o/525c79c83fdb510e,gumnaasium,okmv,Eesti keel,skill,"väljendab oma seisukohta loetu, kuuldu ja nähtu kohta ning valib selleks sobivad keelevahendid;"
outcome:65b7e749a3d92655,https://curriculum.praktikal.ee/o/65b7e749a3d92655,gumnaasium,okmv,Eesti keel,skill,"analüüsib kriitiliselt oma meediakäitumist, sh sotsiaalmeedias, ja kohandab seda vastavalt olukorrale;"
outcome:404646c1b7139187,https://curriculum.praktikal.ee/o/404646c1b7139187,gumnaasium,okmv,Eesti keel,skill,"leiab viiteid ja vihjeid teistele tekstidele, tõlgendab teksti, eristab privaatset ja avalikku informatsiooni."
outcome:9c76cc1d8ed3b28b,https://curriculum.praktikal.ee/o/9c76cc1d8ed3b28b,gumnaasium,okmv,Eesti keel,skill,"edastab oma tundeid, mõtteid ja hinnanguid nii isiklikus, avalikus kui ka ametlikus suhtluses"
